LAST SEEN   TYPE      REASON                  OBJECT                                        MESSAGE
48m         Normal    Started                 pod/slack-bot-5c5bff4bc5-7p5xc                Started container bot
48m         Normal    Created                 pod/slack-bot-5c5bff4bc5-7p5xc                Created container: bot
47m         Normal    EventFiring             hook/agent-registry-sync                      Event pod-restart fired for resource slack-bot-b47656fd9-cxqmk, calling agent commander-agent
46m         Normal    AgentCallSuccess        hook/agent-registry-sync                      Successfully called agent commander-agent for event pod-restart on resource slack-bot-b47656fd9-cxqmk (request: ctx-8005a605-7480-4d81-a5f0-d630be91bfd3)
46m         Warning   AgentCallFailure        hook/agent-self-heal                          Failed to call agent commander-agent for event pod-restart on resource slack-bot-b47656fd9-cxqmk: failed to send A2A message: a2aClient.SendMessage: a2aClient.doRequest: http request failed: a2aClient.httpRequestHandler: http request failed: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/a2a/kagent/commander-agent/": context canceled
46m         Normal    DuplicateEventIgnored   hook/agent-self-heal                          Duplicate event pod-restart ignored for resource slack-bot-5c5bff4bc5-8kk8t (within deduplication window)
46m         Normal    EventFiring             hook/agent-self-heal                          Event pod-restart fired for resource slack-bot-b47656fd9-cxqmk, calling agent commander-agent
46m         Normal    DuplicateEventIgnored   hook/agent-registry-sync                      Duplicate event pod-restart ignored for resource slack-bot-5c5bff4bc5-8kk8t (within deduplication window)
46m         Normal    AgentCallSuccess        hook/agent-self-heal                          Successfully called agent commander-agent for event pod-restart on resource slack-bot-b47656fd9-cxqmk (request: ctx-ca49a540-779d-4613-bedd-727fa1a08f52)
46m         Normal    DuplicateEventIgnored   hook/agent-registry-sync                      Duplicate event pod-restart ignored for resource slack-bot-b47656fd9-cxqmk (within deduplication window)
28m         Normal    Pulled                  pod/commander-tools-watcher-cc9ff4967-pmhrb   Successfully pulled image "docker.io/bitnami/kubectl:latest" in 411ms (411ms including waiting). Image size: 204475069 bytes.
28m         Normal    Started                 pod/commander-tools-watcher-cc9ff4967-pmhrb   Started container watcher
28m         Normal    Created                 pod/commander-tools-watcher-cc9ff4967-pmhrb   Created container: watcher
28m         Normal    Pulling                 pod/commander-tools-watcher-cc9ff4967-pmhrb   Pulling image "docker.io/bitnami/kubectl:latest"
26m         Normal    Killing                 pod/slack-bot-5c5bff4bc5-7p5xc                Stopping container bot
26m         Normal    SuccessfulCreate        replicaset/slack-bot-5c5bff4bc5               Created pod: slack-bot-5c5bff4bc5-vn4lh
25m         Warning   AgentCallFailure        hook/agent-registry-sync                      Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-vn4lh: failed to create session: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/sessions?user_id=admin%40kagent.dev": context canceled
25m         Warning   AgentCallFailure        hook/agent-self-heal                          Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-vn4lh: failed to send A2A message: a2aClient.SendMessage: a2aClient.doRequest: http request failed: a2aClient.httpRequestHandler: http request failed: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/a2a/kagent/commander-agent/": context canceled
25m         Normal    Started                 pod/slack-bot-5c5bff4bc5-vn4lh                Started container bot
25m         Normal    Created                 pod/slack-bot-5c5bff4bc5-vn4lh                Created container: bot
25m         Normal    Pulled                  pod/slack-bot-5c5bff4bc5-vn4lh                Container image "docker.io/python:3.12-slim" already present on machine
24m         Normal    ScalingReplicaSet       deployment/slack-bot                          Scaled up replica set slack-bot-d4fcfc4c9 from 0 to 1
24m         Normal    SuccessfulCreate        replicaset/slack-bot-d4fcfc4c9                Created pod: slack-bot-d4fcfc4c9-wmg2f
24m         Normal    Started                 pod/slack-bot-d4fcfc4c9-wmg2f                 Started container bot
24m         Normal    SuccessfulDelete        replicaset/slack-bot-5c5bff4bc5               Deleted pod: slack-bot-5c5bff4bc5-vn4lh
24m         Normal    ScalingReplicaSet       deployment/slack-bot                          Scaled down replica set slack-bot-5c5bff4bc5 from 1 to 0
24m         Normal    Pulled                  pod/slack-bot-d4fcfc4c9-wmg2f                 Container image "docker.io/python:3.12-slim" already present on machine
24m         Warning   BackOff                 pod/slack-bot-5c5bff4bc5-vn4lh                Back-off restarting failed container bot in pod slack-bot-5c5bff4bc5-vn4lh_kagent(84d49353-c736-4f52-b144-2bfa1b0f2f71)
24m         Normal    Created                 pod/slack-bot-d4fcfc4c9-wmg2f                 Created container: bot
23m         Normal    SuccessfulCreate        replicaset/slack-bot-d4fcfc4c9                Created pod: slack-bot-d4fcfc4c9-jqmgs
23m         Normal    Pulled                  pod/slack-bot-d4fcfc4c9-jqmgs                 Container image "docker.io/python:3.12-slim" already present on machine
23m         Normal    Killing                 pod/slack-bot-d4fcfc4c9-wmg2f                 Stopping container bot
23m         Normal    Created                 pod/slack-bot-d4fcfc4c9-jqmgs                 Created container: bot
23m         Normal    Started                 pod/slack-bot-d4fcfc4c9-jqmgs                 Started container bot
22m         Normal    DuplicateEventIgnored   hook/agent-registry-sync                      Duplicate event pod-restart ignored for resource slack-bot-5c5bff4bc5-vn4lh (within deduplication window)
22m         Normal    DuplicateEventIgnored   hook/agent-self-heal                          Duplicate event pod-restart ignored for resource slack-bot-5c5bff4bc5-vn4lh (within deduplication window)
21m         Normal    Pulled                  pod/slack-bot-d4fcfc4c9-l68c6                 Container image "docker.io/python:3.12-slim" already present on machine
21m         Normal    Killing                 pod/slack-bot-d4fcfc4c9-jqmgs                 Stopping container bot
21m         Normal    SuccessfulCreate        replicaset/slack-bot-d4fcfc4c9                Created pod: slack-bot-d4fcfc4c9-l68c6
21m         Normal    Created                 pod/slack-bot-d4fcfc4c9-l68c6                 Created container: bot
21m         Normal    Started                 pod/slack-bot-d4fcfc4c9-l68c6                 Started container bot
13m         Warning   AgentCallFailure        hook/agent-self-heal                          Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-vn4lh: failed to create session: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/sessions?user_id=admin%40kagent.dev": context canceled
13m         Normal    EventFiring             hook/agent-self-heal                          Event pod-restart fired for resource slack-bot-5c5bff4bc5-vn4lh, calling agent commander-agent
13m         Warning   AgentCallFailure        hook/agent-registry-sync                      Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-vn4lh: failed to send A2A message: a2aClient.SendMessage: a2aClient.doRequest: http request failed: a2aClient.httpRequestHandler: http request failed: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/a2a/kagent/commander-agent/": context canceled
12m         Warning   AgentCallFailure        hook/agent-self-heal                          Failed to call agent commander-agent for event pod-restart on resource slack-bot-5c5bff4bc5-vn4lh: failed to send A2A message: a2aClient.SendMessage: a2aClient.doRequest: http request failed: a2aClient.httpRequestHandler: http request failed: Post "http://kagent-controller.kagent.svc.cluster.local:8083/api/a2a/kagent/commander-agent/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
12m         Normal    EventFiring             hook/agent-registry-sync                      Event pod-restart fired for resource slack-bot-5c5bff4bc5-vn4lh, calling agent commander-agent
9m58s       Warning   Failed                  pod/curl-test                                 Failed to pull image "curlimages/curl": short name mode is enforcing, but image name curlimages/curl:latest returns ambiguous list
9m58s       Normal    Pulling                 pod/curl-test                                 Pulling image "curlimages/curl"
5m3s        Warning   Failed                  pod/curl-test                                 Error: ImagePullBackOff
5m3s        Normal    BackOff                 pod/curl-test                                 Back-off pulling image "curlimages/curl"
